Periode,Tanggal,Riau
1,15/04/2023,16190
2,16/04/2023,16190
3,17/04/2023,16190
4,18/04/2023,16190
5,19/04/2023,16300
6,20/04/2023,16210
7,21/04/2023,16140
8,22/04/2023,16270
9,23/04/2023,16330
10,24/04/2023,15970
11,25/04/2023,16210
12,26/04/2023,16140
13,27/04/2023,16250
14,28/04/2023,16250
15,29/04/2023,16250
16,30/04/2023,16250
17,01/05/2023,16250
18,02/05/2023,16370
19,03/05/2023,16500
20,04/05/2023,16150
21,05/05/2023,16500
22,06/05/2023,16500
23,07/05/2023,16450
24,08/05/2023,16340
25,09/05/2023,16340
26,10/05/2023,16340
27,11/05/2023,16340
28,12/05/2023,16280
29,13/05/2023,16340
30,14/05/2023,16340
31,15/05/2023,16100
32,16/05/2023,16190
33,17/05/2023,16300
34,18/05/2023,16190
35,19/05/2023,15960
36,20/05/2023,16300
37,21/05/2023,16240
38,22/05/2023,16190
39,23/05/2023,16340
40,24/05/2023,16340
41,25/05/2023,16470
42,26/05/2023,16120
43,27/05/2023,16470
44,28/05/2023,16470
45,29/05/2023,16280
46,30/05/2023,16340
47,31/05/2023,16340
48,01/06/2023,16470
49,02/06/2023,16280
50,03/06/2023,16580
51,04/06/2023,16470
52,05/06/2023,16270
53,06/06/2023,16270
54,07/06/2023,16230
55,08/06/2023,16280
56,09/06/2023,16340
57,10/06/2023,16280
58,11/06/2023,16160
59,12/06/2023,15990
60,13/06/2023,16150
61,14/06/2023,16260
62,15/06/2023,16150
63,16/06/2023,16150
64,17/06/2023,16330
65,18/06/2023,15990
66,19/06/2023,16130
67,20/06/2023,16040
68,21/06/2023,16360
69,22/06/2023,16240
70,23/06/2023,16090
71,24/06/2023,16250
72,25/06/2023,16000
73,26/06/2023,16090
74,27/06/2023,16240
75,28/06/2023,16360
76,29/06/2023,16190
77,30/06/2023,16400
78,01/07/2023,16340
79,02/07/2023,16450
80,03/07/2023,16230
81,04/07/2023,16150
82,05/07/2023,15920
83,06/07/2023,16230
84,07/07/2023,16250
85,08/07/2023,16300
86,09/07/2023,16300
87,10/07/2023,16180
88,11/07/2023,16270
89,12/07/2023,16250
90,13/07/2023,16370
91,14/07/2023,16110
92,15/07/2023,16250
93,16/07/2023,16180
94,17/07/2023,16300
95,18/07/2023,16180
96,19/07/2023,16300
97,20/07/2023,16270
98,21/07/2023,16300
99,22/07/2023,16250
100,23/07/2023,16300
101,24/07/2023,16370
102,25/07/2023,16250
103,26/07/2023,16180
104,27/07/2023,16250
105,28/07/2023,16210
106,29/07/2023,16100
107,30/07/2023,16300
108,31/07/2023,16250
109,01/08/2023,16250
110,02/08/2023,16250
111,03/08/2023,16400
112,04/08/2023,16370
113,05/08/2023,16250
114,06/08/2023,16300
115,07/08/2023,16000
116,08/08/2023,15980
117,09/08/2023,16370
118,10/08/2023,16180
119,11/08/2023,16370
120,12/08/2023,16100
121,13/08/2023,16450
122,14/08/2023,16100
123,15/08/2023,16060
124,16/08/2023,16190
125,17/08/2023,16210
126,18/08/2023,15910
127,19/08/2023,16190
128,20/08/2023,15820
129,21/08/2023,16090
130,22/08/2023,15910
131,23/08/2023,16000
132,24/08/2023,16000
133,25/08/2023,15820
134,26/08/2023,16190
135,27/08/2023,16090
136,28/08/2023,16090
137,29/08/2023,16000
138,30/08/2023,16090
139,31/08/2023,15970
140,01/09/2023,16240
141,02/09/2023,16090
142,03/09/2023,16190
143,04/09/2023,16110
144,05/09/2023,15850
145,06/09/2023,16310
146,07/09/2023,16230
147,08/09/2023,16230
148,09/09/2023,16230
149,10/09/2023,16280
150,11/09/2023,16360
151,12/09/2023,16260
152,13/09/2023,16230
153,14/09/2023,16280
154,15/09/2023,16230
155,16/09/2023,16320
156,17/09/2023,16380
157,18/09/2023,16350
158,19/09/2023,16000
159,20/09/2023,16417
160,21/09/2023,16333
161,22/09/2023,16260
162,23/09/2023,16300
163,24/09/2023,16170
164,25/09/2023,16530
165,26/09/2023,16080
166,27/09/2023,16440
167,28/09/2023,16290
168,29/09/2023,16060
169,30/09/2023,16160
170,01/10/2023,16390
171,02/10/2023,15950
172,03/10/2023,16230
173,04/10/2023,16350
174,05/10/2023,16160
175,06/10/2023,16230
176,07/10/2023,16230
177,08/10/2023,16390
178,09/10/2023,16160
179,10/10/2023,16160
180,11/10/2023,16292
181,12/10/2023,16292
182,13/10/2023,16292
183,14/10/2023,16292
184,15/10/2023,16350
185,16/10/2023,16090
186,17/10/2023,16160
187,18/10/2023,16160
188,19/10/2023,16160
189,20/10/2023,15958
190,21/10/2023,16208
191,22/10/2023,16000
192,23/10/2023,16370
193,24/10/2023,16090
194,25/10/2023,16150
195,26/10/2023,15910
196,27/10/2023,16270
197,28/10/2023,16160
198,29/10/2023,16160
199,30/10/2023,16160
200,31/10/2023,16070
201,01/11/2023,16000
202,02/11/2023,16090
203,03/11/2023,16090
204,04/11/2023,16160
205,05/11/2023,16160
206,06/11/2023,16170
207,07/11/2023,16010
208,08/11/2023,16090
209,09/11/2023,16170
210,10/11/2023,15900
211,11/11/2023,16260
212,12/11/2023,15940
213,13/11/2023,16230
214,14/11/2023,16210
215,15/11/2023,16450
216,16/11/2023,16350
217,17/11/2023,16040
218,18/11/2023,16210
219,19/11/2023,16030
220,20/11/2023,15940
221,21/11/2023,16210
222,22/11/2023,16210
223,23/11/2023,16160
224,24/11/2023,16258
225,25/11/2023,16258
226,26/11/2023,16070
227,27/11/2023,16020
228,28/11/2023,16400
229,29/11/2023,16111
230,30/11/2023,15980
231,01/12/2023,15840
232,02/12/2023,15930
233,03/12/2023,15890
234,04/12/2023,16190
235,05/12/2023,15990
236,06/12/2023,16020
237,07/12/2023,15940
238,08/12/2023,15930
239,09/12/2023,15890
240,10/12/2023,16120
241,11/12/2023,16230
242,12/12/2023,16110
243,13/12/2023,16300
244,14/12/2023,16210
245,15/12/2023,16100
246,16/12/2023,16050
247,17/12/2023,16140
248,18/12/2023,16030
249,19/12/2023,16050
250,20/12/2023,16350
251,21/12/2023,16030
252,22/12/2023,16210
253,23/12/2023,16220
254,24/12/2023,16080
255,25/12/2023,15930
256,26/12/2023,15930
257,27/12/2023,16110
258,28/12/2023,16280
259,29/12/2023,16150
260,30/12/2023,16270
261,31/12/2023,16040
262,01/01/2024,16153
263,02/01/2024,15903
264,03/01/2024,16486
265,04/01/2024,16340
266,05/01/2024,15930
267,06/01/2024,15810
268,07/01/2024,16120
269,08/01/2024,16030
270,09/01/2024,16050
271,10/01/2024,16030
272,11/01/2024,16120
273,12/01/2024,16040
274,13/01/2024,16050
275,14/01/2024,16000
276,15/01/2024,16320
277,16/01/2024,16030
278,17/01/2024,15840
279,18/01/2024,15970
280,19/01/2024,16569
281,20/01/2024,15898
282,21/01/2024,15940
283,22/01/2024,16190
284,23/01/2024,16000
285,24/01/2024,16110
286,25/01/2024,16030
287,26/01/2024,16150
288,27/01/2024,16290
289,28/01/2024,16130
290,29/01/2024,16250
291,30/01/2024,16380
292,31/01/2024,16240
293,01/02/2024,16200
294,02/02/2024,16270
295,03/02/2024,16360
296,04/02/2024,16350
297,05/02/2024,16220
298,06/02/2024,16470
299,07/02/2024,16340
300,08/02/2024,16390
301,09/02/2024,16423
302,10/02/2024,16499
303,11/02/2024,16590
304,12/02/2024,16570
305,13/02/2024,16570
306,14/02/2024,16730
307,15/02/2024,16510
308,16/02/2024,16710
309,17/02/2024,16610
310,18/02/2024,16720
311,19/02/2024,16780
312,20/02/2024,16640
313,21/02/2024,16860
314,22/02/2024,16860
315,23/02/2024,16840
316,24/02/2024,16850
317,25/02/2024,16570
318,26/02/2024,16690
319,27/02/2024,16710
320,28/02/2024,16740
321,29/02/2024,16780
322,01/03/2024,16960
323,02/03/2024,16940
324,03/03/2024,16740
325,04/03/2024,16810
326,05/03/2024,16840
327,06/03/2024,16790
328,07/03/2024,16790
329,08/03/2024,16790
330,09/03/2024,16900
331,10/03/2024,16970
332,11/03/2024,16830
333,12/03/2024,16900
334,13/03/2024,16920
335,14/03/2024,16820
336,15/03/2024,16930
337,16/03/2024,16860
338,17/03/2024,16840
339,18/03/2024,16740
340,19/03/2024,16730
341,20/03/2024,16820
342,21/03/2024,16860
343,22/03/2024,16590
344,23/03/2024,16920
345,24/03/2024,16940
346,25/03/2024,16950
347,26/03/2024,16990
348,27/03/2024,17130
349,28/03/2024,16950
350,29/03/2024,16810
351,30/03/2024,16960
352,31/03/2024,16760
353,01/04/2024,16880
354,02/04/2024,16890
355,03/04/2024,16950
356,04/04/2024,16630
357,05/04/2024,16730
358,06/04/2024,16910
359,07/04/2024,16820
360,08/04/2024,16600
361,09/04/2024,17020
362,10/04/2024,16650
363,11/04/2024,17000
364,12/04/2024,16850
365,13/04/2024,16750
366,14/04/2024,16770
367,15/04/2024,16840
